date,weekday,time_started,time_ended,missed/present,mood
2021-04-1,sun,3:30,4:30,present,9
2021-04-2,mon,5:30,6:30,present,9
2021-04-3,tue,6:00,7:00,present,9
2021-04-4,wed,5,6,present,5
2021-04-5,th,10,11,present,10
2021-04-6,fri,18,19,present,3
2021-04-7,sat,2,3,present,1
2021-04-8,sun,3:30,4:30,missed,4
2021-04-9,mon,5:30,6:30,missed,4
2021-04-10,tue,6,7,present,2
2021-04-11,wed,5,6,present,4
2021-04-12,th,10,11,present,10
2021-04-13,fri,5,6,present,4
2021-04-14,sat,7,8,missed,1
2021-04-15,sun,3:30,4:30,missed,4
2021-04-17,mon,8,9,present,4
2021-04-18,tue,15,16,present,2
2021-04-19,wed,5,6,missed,4
2021-04-20,th,10,11,present,10
2021-04-21,fri,5,6,present,8
2021-04-22,sat,7,8,missed,1
2021-04-21,sun,18,19,missed,8
